strain	gisaid_epi_isl	genbank_accession	submitting_lab	authors	originating_lab	url
hCoV-19/Denmark/DCGC-43541/2021	EPI_ISL_1023919		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-44320/2021	EPI_ISL_1024698		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-32646/2021	EPI_ISL_869650		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34778/2021	EPI_ISL_925918		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-32334/2021	EPI_ISL_869338		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34787/2021	EPI_ISL_925927		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-27594/2020	EPI_ISL_815493		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34790/2021	EPI_ISL_925930		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-29034/2021	EPI_ISL_844757		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34793/2021	EPI_ISL_925933		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34795/2021	EPI_ISL_925935		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-44321/2021	EPI_ISL_1024699		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-26967/2020	EPI_ISL_817331		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34800/2021	EPI_ISL_925940		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-44058/2021	EPI_ISL_1024436		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39484/2021	EPI_ISL_970877		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34801/2021	EPI_ISL_925941		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-30495/2021	EPI_ISL_847214		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34804/2021	EPI_ISL_925944		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-32335/2021	EPI_ISL_869339		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39487/2021	EPI_ISL_970881		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34811/2021	EPI_ISL_925951		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39488/2021	EPI_ISL_970882		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39489/2021	EPI_ISL_970883		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-43543/2021	EPI_ISL_1023921		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
